nb_blocks,colors,positions,nb_moves
3,['blue'],"{(14, 9): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: blue>}",1
4,['blue'],"{(14, 6): <Color: blue>, (14, 8): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>}",2
5,['blue'],"{(14, 8): <Color: blue>, (14, 10): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>}",3
6,['blue'],"{(14, 7): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>}",2
7,['blue'],"{(14, 7): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (15, 5): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>}",2
8,['blue'],"{(14, 5): <Color: blue>, (14, 7): <Color: blue>, (14, 8): <Color: blue>, (15, 3): <Color: blue>, (15, 5): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>}",3
9,['blue'],"{(14, 0): <Color: blue>, (14, 2): <Color: blue>, (14, 4): <Color: blue>, (14, 8): <Color: blue>, (15, 0): <Color: blue>, (15, 2): <Color: blue>, (15, 4): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>}",3
10,['blue'],"{(14, 4): <Color: blue>, (14, 5): <Color: blue>, (14, 7): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (15, 4): <Color: blue>, (15, 5): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>}",3
11,['blue'],"{(14, 7): <Color: blue>, (14, 8): <Color: blue>, (14, 12): <Color: blue>, (14, 15): <Color: blue>, (15, 5): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>, (15, 12): <Color: blue>, (15, 13): <Color: blue>, (15, 15): <Color: blue>}",4
12,['blue'],"{(14, 4): <Color: blue>, (14, 6): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (14, 12): <Color: blue>, (14, 14): <Color: blue>, (15, 4): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>, (15, 12): <Color: blue>, (15, 14): <Color: blue>}",4
13,['blue'],"{(14, 6): <Color: blue>, (14, 8): <Color: blue>, (14, 9): <Color: blue>, (14, 12): <Color: blue>, (14, 14): <Color: blue>, (15, 3): <Color: blue>, (15, 5): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: blue>, (15, 11): <Color: blue>, (15, 12): <Color: blue>, (15, 14): <Color: blue>}",4
14,['blue'],"{(14, 0): <Color: blue>, (14, 2): <Color: blue>, (14, 4): <Color: blue>, (14, 6): <Color: blue>, (14, 8): <Color: blue>, (14, 9): <Color: blue>, (14, 11): <Color: blue>, (15, 0): <Color: blue>, (15, 2): <Color: blue>, (15, 4): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: blue>, (15, 11): <Color: blue>}",4
15,['blue'],"{(14, 2): <Color: blue>, (14, 3): <Color: blue>, (14, 5): <Color: blue>, (14, 6): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (14, 11): <Color: blue>, (15, 2): <Color: blue>, (15, 3): <Color: blue>, (15, 5): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 10): <Color: blue>, (15, 11): <Color: blue>, (15, 13): <Color: blue>}",5
6,"['blue', 'red']","{(13, 8): <Color: blue>, (14, 6): <Color: blue>, (14, 8): <Color: red>, (15, 6): <Color: blue>, (15, 8): <Color: red>, (15, 9): <Color: red>}",2
7,"['blue', 'red']","{(12, 8): <Color: red>, (13, 8): <Color: blue>, (14, 8): <Color: red>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: red>, (15, 10): <Color: blue>}",3
8,"['blue', 'red']","{(14, 8): <Color: red>, (14, 10): <Color: blue>, (15, 7): <Color: red>, (15, 8): <Color: blue>, (15, 9): <Color: blue>, (15, 10): <Color: red>, (15, 12): <Color: red>, (15, 13): <Color: red>}",5
9,"['blue', 'red']","{(14, 8): <Color: red>, (14, 10): <Color: blue>, (14, 11): <Color: blue>, (15, 5): <Color: blue>, (15, 7): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: red>, (15, 10): <Color: blue>, (15, 11): <Color: red>}",3
10,"['blue', 'red']","{(12, 8): <Color: red>, (13, 7): <Color: blue>, (13, 8): <Color: blue>, (14, 7): <Color: blue>, (14, 8): <Color: blue>, (14, 10): <Color: blue>, (15, 7): <Color: red>, (15, 8): <Color: red>, (15, 10): <Color: blue>, (15, 12): <Color: blue>}",4
11,"['blue', 'red']","{(11, 8): <Color: blue>, (12, 8): <Color: red>, (13, 5): <Color: blue>, (13, 8): <Color: red>, (14, 5): <Color: red>, (14, 6): <Color: blue>, (14, 8): <Color: blue>, (15, 5): <Color: blue>, (15, 6): <Color: blue>, (15, 8): <Color: blue>, (15, 9): <Color: red>}",5
