cubes,positions,colors,moves
3,"[(2, 2), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (3, 4), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 3), (5, 0), (5, 1), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",2
6,"[(5, 2), (5, 3), (5, 5), (6, 2), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (6, 7), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 1), (7, 3), (7, 4), (7, 6), (8, 1), (8, 3), (8, 4), (8, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
9,"[(8, 0), (8, 2), (8, 4), (8, 5), (9, 0), (9, 2), (9, 4), (9, 5), (9, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 3), (9, 5), (9, 7), (9, 8), (10, 1), (10, 3), (10, 5), (10, 7), (10, 8), (10, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 0), (10, 2), (10, 3), (10, 5), (10, 6), (11, 0), (11, 2), (11, 3), (11, 5), (11, 6), (11, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 3), (11, 4), (11, 6), (11, 7), (11, 9), (12, 1), (12, 3), (12, 4), (12, 6), (12, 7), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(9, 3), (10, 0), (10, 3), (11, 0), (11, 2), (11, 3)]","['blue', 'blue', 'red', 'red', 'red', 'blue']",4
7,"[(7, 1), (8, 1), (9, 1), (10, 1), (10, 3), (11, 1), (11, 3)]","['blue', 'red', 'red', 'blue', 'blue', 'red', 'red']",3
8,"[(9, 3), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['red', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'red']",5
9,"[(9, 1), (10, 1), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'blue', 'blue', 'blue', 'red', 'red', 'blue']",3
10,"[(10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'red', 'blue', 'red']",4
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'blue']",4
12,"[(6, 3), (7, 3), (8, 3), (9, 0), (9, 3), (10, 0), (10, 1), (10, 3), (11, 0), (11, 1), (11, 3), (11, 4)]","['blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'blue']",3
9,"[(9, 3), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'gray', 'gray', 'red', 'blue', 'red', 'gray']",5
10,"[(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (11, 4)]","['red', 'gray', 'blue', 'gray', 'blue', 'blue', 'gray', 'red', 'red', 'red']",4
11,"[(8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'gray', 'gray', 'blue', 'blue', 'red', 'red', 'gray', 'red', 'blue', 'gray']",5
