cubes,positions,colors,moves
3,"[(2, 2), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 0), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 3), (5, 0), (5, 1), (5, 3)]","['blue', 'blue', 'blue', 'blue', 'blue']",2
6,"[(5, 3), (5, 5), (5, 6), (6, 3), (6, 5), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
7,"[(6, 0), (6, 2), (6, 4), (7, 0), (7, 2), (7, 4), (7, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 0), (7, 4), (7, 6), (8, 0), (8, 1), (8, 3), (8, 4), (8, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 2), (8, 4), (8, 5), (8, 7), (9, 0), (9, 2), (9, 4), (9, 5), (9, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 4), (9, 5), (9, 7), (9, 8), (10, 1), (10, 2), (10, 4), (10, 5), (10, 7), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 5), (10, 6), (10, 8), (10, 10), (10, 11), (11, 3), (11, 5), (11, 6), (11, 8), (11, 10), (11, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
12,"[(11, 0), (11, 2), (11, 3), (11, 5), (11, 6), (11, 8), (12, 0), (12, 2), (12, 3), (12, 5), (12, 6), (12, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(10, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'blue', 'red', 'red', 'blue']",3
7,"[(8, 3), (9, 3), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3)]","['blue', 'blue', 'red', 'red', 'red', 'blue', 'red']",4
8,"[(10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'red']",5
9,"[(8, 3), (9, 3), (10, 0), (10, 3), (11, 0), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'red']",3
10,"[(8, 3), (9, 3), (10, 3), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'red']",5
11,"[(8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (10, 4), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'blue', 'red']",5
12,"[(9, 3), (9, 4), (10, 0), (10, 2), (10, 3), (10, 4), (10, 5), (11, 0), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'red', 'blue', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'blue']",4
9,"[(9, 3), (9, 4), (10, 2), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'red', 'gray', 'gray', 'blue', 'red', 'red', 'gray', 'blue']",3
10,"[(7, 3), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (10, 5), (11, 2), (11, 3), (11, 5)]","['blue', 'gray', 'gray', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'gray']",5
11,"[(8, 2), (9, 2), (9, 5), (10, 1), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['gray', 'gray', 'blue', 'gray', 'blue', 'blue', 'red', 'red', 'gray', 'blue', 'red']",5
12,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['gray', 'gray', 'red', 'gray', 'blue', 'red', 'red', 'red', 'blue', 'red', 'red', 'blue']",4
