cubes,positions,colors,moves
3,"[(2, 2), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 0), (4, 0), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 4)]","['blue', 'blue', 'blue', 'blue', 'blue']",2
6,"[(5, 0), (5, 2), (5, 3), (6, 0), (6, 2), (6, 3)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (6, 7), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 2), (7, 4), (7, 6), (7, 8), (8, 2), (8, 4), (8, 6), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 4), (8, 5), (8, 7), (8, 9), (9, 2), (9, 4), (9, 5), (9, 7), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 3), (9, 5), (9, 6), (9, 8), (9, 9), (10, 3), (10, 5), (10, 6), (10, 8), (10, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 0), (10, 1), (10, 3), (10, 5), (10, 6), (11, 0), (11, 1), (11, 3), (11, 5), (11, 6), (11, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
12,"[(11, 5), (11, 6), (11, 8), (11, 10), (11, 11), (12, 1), (12, 3), (12, 5), (12, 6), (12, 8), (12, 10), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(8, 3), (9, 3), (10, 3), (11, 1), (11, 3), (11, 5)]","['blue', 'red', 'red', 'blue', 'blue', 'red']",2
7,"[(9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'blue', 'red', 'red', 'blue', 'red']",4
8,"[(8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'red', 'blue', 'red', 'red', 'blue']",4
9,"[(8, 4), (9, 3), (9, 4), (10, 3), (10, 4), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'blue', 'blue', 'blue', 'red', 'red', 'blue']",2
10,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'red']",4
11,"[(8, 1), (9, 1), (9, 4), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'red', 'red', 'red', 'red', 'red', 'red', 'blue', 'red', 'blue']",5
12,"[(7, 3), (8, 3), (9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'red', 'blue', 'red', 'red']",3
9,"[(6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4)]","['blue', 'red', 'blue', 'gray', 'blue', 'gray', 'red', 'red', 'gray']",3
10,"[(8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'gray', 'gray', 'blue', 'red', 'gray', 'blue', 'red', 'red']",4
