cubes,positions,colors,moves
3,"[(2, 2), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 0), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 4), (5, 1), (5, 3), (5, 4)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 1), (5, 3), (5, 5), (6, 1), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (6, 7), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 0), (7, 2), (7, 4), (7, 5), (8, 0), (8, 2), (8, 4), (8, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 2), (8, 4), (8, 5), (8, 7), (9, 2), (9, 4), (9, 5), (9, 7), (9, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
10,"[(9, 4), (9, 5), (9, 7), (9, 8), (9, 10), (10, 4), (10, 5), (10, 7), (10, 8), (10, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 4), (10, 6), (10, 7), (10, 9), (10, 10), (11, 3), (11, 4), (11, 6), (11, 7), (11, 9), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 5), (11, 6), (11, 8), (11, 10), (11, 11), (12, 2), (12, 3), (12, 5), (12, 6), (12, 8), (12, 10), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(9, 3), (10, 1), (10, 3), (11, 1), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'red', 'red', 'blue']",2
7,"[(8, 5), (9, 5), (10, 3), (10, 5), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'red', 'red', 'blue', 'red']",5
8,"[(8, 2), (9, 2), (9, 3), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3)]","['blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue']",5
9,"[(9, 3), (10, 0), (10, 3), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",3
10,"[(9, 3), (9, 5), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'red', 'blue', 'blue']",4
11,"[(8, 1), (8, 3), (9, 1), (9, 3), (10, 0), (10, 1), (10, 3), (11, 0), (11, 1), (11, 3), (11, 5)]","['blue', 'red', 'red', 'blue', 'red', 'blue', 'red', 'red', 'red', 'red', 'red']",4
12,"[(7, 3), (7, 4), (8, 3), (8, 4), (9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['red', 'red', 'red', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'red', 'red']",4
9,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (11, 0), (11, 2), (11, 3)]","['red', 'red', 'gray', 'blue', 'red', 'gray', 'blue', 'gray', 'blue']",4
10,"[(7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'gray', 'gray', 'gray', 'red', 'red', 'blue', 'red', 'gray']",4
11,"[(8, 3), (9, 2), (9, 3), (10, 1), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'gray', 'gray', 'gray', 'blue', 'gray', 'red', 'red', 'gray', 'blue', 'blue']",4
12,"[(7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'red', 'blue', 'blue', 'gray', 'gray', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",4
