cubes,positions,colors,moves
3,"[(3, 0), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 0), (4, 2), (4, 3)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 4)]","['blue', 'blue', 'blue', 'blue', 'blue']",2
6,"[(5, 1), (5, 3), (5, 5), (6, 1), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 6), (7, 0), (7, 1), (7, 3), (7, 4), (7, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
8,"[(7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 4), (8, 5), (8, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
9,"[(8, 5), (8, 6), (8, 8), (8, 9), (9, 3), (9, 5), (9, 6), (9, 8), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
10,"[(9, 1), (9, 3), (9, 5), (9, 7), (10, 0), (10, 1), (10, 3), (10, 5), (10, 7), (10, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 3), (10, 4), (10, 6), (10, 8), (10, 9), (11, 3), (11, 4), (11, 6), (11, 8), (11, 9), (11, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
12,"[(11, 2), (11, 4), (11, 6), (11, 8), (11, 10), (11, 12), (12, 2), (12, 4), (12, 6), (12, 8), (12, 10), (12, 12)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['red', 'blue', 'red', 'blue', 'blue', 'red']",3
7,"[(7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3)]","['blue', 'red', 'blue', 'blue', 'blue', 'red', 'red']",5
8,"[(8, 3), (9, 3), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'blue']",5
9,"[(7, 3), (8, 3), (9, 3), (10, 3), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'blue', 'red', 'red', 'blue', 'red']",4
10,"[(9, 1), (10, 0), (10, 1), (10, 3), (10, 5), (11, 0), (11, 1), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'blue', 'blue', 'red']",4
11,"[(7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'red', 'red', 'blue', 'red']",3
12,"[(8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 2), (10, 3), (10, 5), (11, 0), (11, 2), (11, 3), (11, 5)]","['red', 'blue', 'blue', 'red', 'red', 'red', 'red', 'red', 'red', 'red', 'blue', 'red']",4
9,"[(7, 3), (8, 3), (9, 3), (10, 0), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3)]","['blue', 'gray', 'blue', 'blue', 'red', 'red', 'red', 'gray', 'gray']",4
10,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 5), (11, 3), (11, 5)]","['blue', 'gray', 'gray', 'red', 'gray', 'red', 'blue', 'gray', 'blue', 'red']",5
11,"[(6, 3), (7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3)]","['gray', 'red', 'gray', 'gray', 'blue', 'red', 'blue', 'gray', 'gray', 'red', 'blue']",5
12,"[(7, 3), (8, 3), (9, 3), (9, 5), (10, 0), (10, 1), (10, 3), (10, 5), (11, 0), (11, 1), (11, 3), (11, 5)]","['red', 'blue', 'gray', 'red', 'gray', 'gray', 'gray', 'blue', 'red', 'red', 'red', 'blue']",4
