cubes,positions,colors,moves
3,"[(2, 3), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",2
4,"[(3, 2), (4, 1), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 0), (4, 3), (5, 0), (5, 1), (5, 3)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 2), (5, 3), (5, 5), (6, 2), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 2), (6, 4), (6, 6), (7, 1), (7, 2), (7, 4), (7, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 1), (7, 4), (7, 5), (8, 1), (8, 2), (8, 4), (8, 5), (8, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 1), (8, 3), (8, 5), (8, 6), (9, 1), (9, 3), (9, 5), (9, 6), (9, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 0), (9, 1), (9, 3), (9, 5), (9, 7), (10, 0), (10, 1), (10, 3), (10, 5), (10, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
11,"[(10, 2), (10, 4), (10, 6), (10, 8), (10, 10), (11, 0), (11, 2), (11, 4), (11, 6), (11, 8), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
12,"[(11, 1), (11, 3), (11, 5), (11, 6), (11, 9), (12, 1), (12, 3), (12, 5), (12, 6), (12, 8), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'blue', 'red', 'red']",2
7,"[(8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3)]","['red', 'blue', 'blue', 'red', 'blue', 'red', 'red']",5
8,"[(8, 2), (9, 2), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",4
9,"[(8, 3), (8, 4), (9, 3), (9, 4), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['red', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'red']",3
10,"[(7, 3), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue']",3
11,"[(9, 3), (9, 5), (10, 1), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'blue']",5
12,"[(6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",4
9,"[(7, 3), (8, 1), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (11, 1), (11, 3)]","['blue', 'gray', 'gray', 'blue', 'red', 'red', 'red', 'blue', 'gray']",4
10,"[(8, 3), (9, 0), (9, 1), (9, 3), (10, 0), (10, 1), (10, 3), (11, 0), (11, 1), (11, 3)]","['red', 'gray', 'blue', 'blue', 'blue', 'gray', 'blue', 'gray', 'red', 'red']",4
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3)]","['gray', 'blue', 'gray', 'red', 'gray', 'blue', 'gray', 'blue', 'red', 'blue', 'red']",4
12,"[(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'gray', 'red', 'blue', 'blue', 'gray', 'red', 'red', 'gray', 'blue']",5
