cubes,positions,colors,moves
3,"[(2, 2), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (3, 4), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 1), (5, 3), (5, 5), (6, 1), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 0), (6, 2), (6, 4), (7, 0), (7, 2), (7, 4), (7, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 4), (7, 5), (7, 7), (7, 8), (8, 4), (8, 5), (8, 7), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 2), (8, 5), (8, 7), (8, 8), (9, 2), (9, 4), (9, 5), (9, 7), (9, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
10,"[(9, 2), (9, 4), (9, 5), (9, 7), (9, 9), (10, 2), (10, 4), (10, 5), (10, 7), (10, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 1), (10, 3), (10, 4), (10, 6), (10, 7), (11, 0), (11, 1), (11, 3), (11, 4), (11, 6), (11, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 2), (11, 4), (11, 6), (11, 7), (11, 9), (12, 1), (12, 2), (12, 4), (12, 6), (12, 7), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(10, 3), (10, 5), (11, 0), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'red', 'blue', 'red']",3
7,"[(9, 3), (10, 1), (10, 3), (10, 5), (11, 1), (11, 3), (11, 5)]","['red', 'red', 'red', 'red', 'blue', 'blue', 'blue']",4
9,"[(9, 3), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue']",3
10,"[(8, 3), (9, 3), (10, 1), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",5
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'blue', 'red']",3
12,"[(6, 3), (7, 2), (7, 3), (8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 0), (11, 2), (11, 3)]","['blue', 'blue', 'blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 2), (11, 3), (11, 4)]","['blue', 'gray', 'blue', 'red', 'gray', 'red', 'red', 'blue', 'gray']",3
10,"[(7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['gray', 'red', 'gray', 'gray', 'red', 'red', 'blue', 'red', 'blue', 'blue']",4
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'gray', 'gray', 'red', 'blue', 'red', 'red', 'blue', 'gray', 'gray', 'gray']",5
12,"[(8, 1), (9, 1), (10, 1), (10, 2), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'gray', 'blue', 'gray', 'red', 'blue', 'gray', 'gray', 'red', 'gray', 'gray', 'red']",5
