cubes,positions,colors,moves
3,"[(2, 2), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 0), (3, 2), (4, 0), (4, 2)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 3), (5, 0), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 3), (5, 4), (5, 6), (6, 3), (6, 4), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 2), (6, 5), (7, 0), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 4), (7, 5), (7, 7), (8, 0), (8, 2), (8, 4), (8, 5), (8, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 3), (8, 5), (8, 7), (8, 8), (9, 1), (9, 3), (9, 5), (9, 7), (9, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 3), (9, 5), (9, 6), (9, 8), (9, 10), (10, 3), (10, 5), (10, 6), (10, 8), (10, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 3), (10, 4), (10, 6), (10, 8), (11, 1), (11, 3), (11, 4), (11, 6), (11, 8), (11, 10), (11, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 0), (11, 2), (11, 6), (11, 7), (11, 9), (12, 0), (12, 2), (12, 4), (12, 6), (12, 7), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(8, 1), (9, 1), (10, 1), (11, 1), (11, 3), (11, 4)]","['red', 'red', 'blue', 'blue', 'red', 'blue']",3
7,"[(9, 1), (10, 0), (10, 1), (11, 0), (11, 1), (11, 3), (11, 5)]","['red', 'blue', 'blue', 'red', 'blue', 'red', 'red']",5
8,"[(7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (11, 0), (11, 1), (11, 3)]","['blue', 'red', 'red', 'red', 'blue', 'red', 'red', 'blue']",4
9,"[(7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (10, 5), (11, 1), (11, 3), (11, 5)]","['red', 'blue', 'blue', 'blue', 'red', 'red', 'red', 'red', 'red']",3
10,"[(8, 3), (9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",4
11,"[(8, 3), (9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'red', 'red', 'red', 'red', 'red', 'red', 'blue', 'blue']",3
12,"[(8, 1), (9, 1), (9, 3), (9, 4), (10, 0), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 3), (11, 4)]","['blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'blue', 'red', 'red']",4
9,"[(7, 1), (8, 1), (9, 1), (9, 3), (10, 1), (10, 3), (11, 1), (11, 3), (11, 4)]","['red', 'blue', 'blue', 'gray', 'gray', 'red', 'blue', 'red', 'gray']",2
10,"[(8, 4), (9, 1), (9, 4), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4), (11, 5)]","['blue', 'gray', 'red', 'blue', 'gray', 'red', 'blue', 'gray', 'gray', 'red']",4
12,"[(8, 3), (9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'gray', 'gray', 'blue', 'red', 'red', 'blue', 'red', 'gray', 'red']",4
