cubes,positions,colors,moves
3,"[(2, 2), (3, 0), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 1), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 1), (5, 3), (5, 4), (6, 1), (6, 3), (6, 4)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 3), (6, 4), (6, 6), (7, 3), (7, 4), (7, 6), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 4), (8, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 4), (8, 5), (8, 7), (8, 8), (9, 2), (9, 4), (9, 5), (9, 7), (9, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 0), (9, 2), (9, 4), (9, 9), (10, 0), (10, 2), (10, 4), (10, 5), (10, 7), (10, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 4), (10, 6), (10, 7), (10, 9), (10, 11), (11, 3), (11, 4), (11, 6), (11, 7), (11, 9), (11, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 5), (11, 6), (11, 8), (11, 9), (11, 11), (12, 3), (12, 5), (12, 6), (12, 8), (12, 9), (12, 11), (12, 12)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(10, 3), (10, 4), (11, 1), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'red']",2
7,"[(8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4)]","['red', 'blue', 'red', 'blue', 'blue', 'red', 'red']",4
8,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'blue']",5
9,"[(7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (10, 5), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",2
10,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'red', 'blue', 'blue']",3
11,"[(8, 3), (9, 3), (9, 4), (10, 0), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'red', 'blue', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'red']",4
12,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (10, 5), (11, 1), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (11, 4)]","['blue', 'red', 'red', 'gray', 'gray', 'blue', 'blue', 'gray', 'red']",3
10,"[(8, 2), (9, 2), (9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['gray', 'red', 'blue', 'blue', 'gray', 'red', 'red', 'gray', 'red', 'blue']",4
11,"[(6, 3), (7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'blue', 'red', 'red', 'blue', 'gray', 'gray', 'gray', 'gray']",4
12,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['gray', 'red', 'red', 'gray', 'blue', 'blue', 'blue', 'gray', 'blue', 'red', 'blue', 'blue']",3
