cubes,positions,colors,moves
3,"[(2, 2), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 1), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 2), (5, 3), (6, 0), (6, 2), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 0), (6, 2), (6, 4), (7, 0), (7, 2), (7, 4), (7, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 1), (7, 4), (7, 6), (8, 1), (8, 3), (8, 4), (8, 6), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 4), (8, 5), (8, 7), (8, 9), (9, 2), (9, 4), (9, 5), (9, 7), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 2), (9, 3), (9, 5), (9, 6), (10, 0), (10, 2), (10, 3), (10, 5), (10, 6), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 3), (10, 4), (10, 6), (10, 7), (10, 10), (11, 3), (11, 4), (11, 6), (11, 7), (11, 9), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
12,"[(11, 3), (11, 5), (11, 6), (11, 8), (11, 9), (11, 11), (12, 3), (12, 5), (12, 6), (12, 8), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(9, 3), (10, 1), (10, 3), (11, 1), (11, 3), (11, 4)]","['blue', 'blue', 'blue', 'red', 'red', 'red']",2
7,"[(8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'red', 'blue', 'red', 'red']",3
8,"[(9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'red']",3
9,"[(8, 3), (8, 4), (9, 3), (9, 4), (10, 3), (10, 4), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'blue', 'red']",2
10,"[(9, 2), (10, 0), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",5
11,"[(9, 1), (9, 3), (10, 1), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'blue', 'red', 'red']",4
12,"[(8, 3), (8, 5), (9, 3), (9, 5), (10, 0), (10, 3), (10, 5), (11, 0), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue']",4
9,"[(8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'gray', 'gray', 'blue', 'red', 'red', 'blue', 'blue', 'gray']",3
10,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'gray', 'red', 'red', 'gray', 'gray', 'gray', 'blue', 'blue', 'red']",5
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 5), (11, 1), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'gray', 'gray', 'blue', 'red', 'red', 'gray', 'blue', 'red']",5
12,"[(7, 1), (7, 3), (8, 1), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['gray', 'blue', 'gray', 'gray', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue', 'blue']",4
