cubes,positions,colors,moves
3,"[(2, 2), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (3, 4), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 3), (5, 4), (5, 6), (6, 3), (6, 4), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 3), (7, 4), (7, 6), (7, 8), (8, 3), (8, 4), (8, 6), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 2), (8, 3), (8, 5), (8, 7), (9, 0), (9, 2), (9, 3), (9, 5), (9, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 4), (9, 5), (9, 7), (10, 0), (10, 2), (10, 4), (10, 5), (10, 7), (10, 8), (10, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
11,"[(10, 0), (10, 2), (10, 4), (10, 6), (10, 8), (11, 0), (11, 2), (11, 4), (11, 6), (11, 8), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
12,"[(11, 3), (11, 4), (11, 6), (11, 8), (11, 10), (11, 11), (12, 3), (12, 4), (12, 6), (12, 8), (12, 10), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3)]","['red', 'blue', 'red', 'blue', 'blue', 'red']",2
7,"[(9, 3), (10, 3), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'blue', 'red']",5
8,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (11, 1), (11, 3)]","['red', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue']",4
9,"[(7, 1), (8, 1), (9, 1), (10, 1), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue']",2
10,"[(9, 2), (9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'blue']",4
11,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (10, 5), (11, 1), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'red']",4
12,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",3
9,"[(8, 1), (9, 1), (10, 1), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'red', 'red', 'gray', 'red', 'gray', 'blue', 'blue', 'gray']",4
10,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (11, 1), (11, 3)]","['gray', 'red', 'gray', 'blue', 'red', 'red', 'gray', 'blue', 'blue', 'gray']",4
11,"[(9, 2), (9, 4), (10, 0), (10, 2), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'blue', 'red', 'gray', 'blue', 'gray', 'gray', 'blue', 'red']",4
12,"[(6, 3), (7, 3), (8, 3), (9, 1), (9, 3), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'red', 'blue', 'red', 'blue', 'gray', 'gray', 'gray', 'red', 'gray', 'gray', 'blue']",4
