cubes,positions,colors,moves
3,"[(2, 2), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (3, 4), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 1), (5, 3), (5, 4), (6, 1), (6, 3), (6, 4)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (6, 7), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 0), (7, 2), (7, 4), (7, 5), (8, 0), (8, 2), (8, 4), (8, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 3), (8, 5), (8, 6), (8, 8), (9, 3), (9, 5), (9, 6), (9, 8), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
10,"[(9, 1), (9, 3), (9, 5), (9, 6), (9, 8), (10, 1), (10, 3), (10, 5), (10, 6), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 2), (10, 4), (10, 6), (10, 7), (10, 9), (11, 0), (11, 2), (11, 4), (11, 6), (11, 7), (11, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 5), (11, 6), (11, 8), (11, 9), (11, 11), (12, 2), (12, 3), (12, 5), (12, 6), (12, 8), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(9, 3), (10, 3), (11, 1), (11, 2), (11, 3), (11, 5)]","['red', 'red', 'blue', 'red', 'blue', 'blue']",3
7,"[(10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'red', 'blue', 'red', 'red', 'blue', 'blue']",3
8,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3)]","['blue', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'red']",4
9,"[(8, 5), (9, 3), (9, 5), (10, 3), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'red', 'blue', 'blue', 'blue', 'blue', 'red', 'blue']",3
10,"[(7, 0), (8, 0), (9, 0), (9, 3), (10, 0), (10, 2), (10, 3), (11, 0), (11, 2), (11, 3)]","['red', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'red', 'red']",5
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'blue']",2
12,"[(8, 3), (9, 3), (10, 1), (10, 3), (10, 4), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'red']",4
9,"[(9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (11, 0), (11, 1), (11, 3), (11, 4)]","['gray', 'gray', 'red', 'red', 'blue', 'blue', 'red', 'blue', 'gray']",4
10,"[(7, 3), (8, 3), (9, 0), (9, 3), (10, 0), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3)]","['gray', 'red', 'gray', 'blue', 'gray', 'blue', 'red', 'red', 'blue', 'gray']",4
11,"[(6, 3), (7, 3), (8, 3), (8, 4), (9, 3), (9, 4), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4)]","['red', 'gray', 'blue', 'blue', 'gray', 'red', 'red', 'gray', 'gray', 'blue', 'gray']",4
12,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 4), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'blue', 'red', 'red', 'blue', 'red', 'red', 'gray', 'red', 'gray', 'red', 'blue']",3
