cubes,positions,colors,moves
3,"[(2, 0), (3, 0), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 3), (4, 0), (4, 2), (4, 3)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 3), (5, 5), (5, 6), (6, 3), (6, 5), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
7,"[(6, 1), (6, 4), (6, 6), (7, 1), (7, 2), (7, 4), (7, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
8,"[(7, 1), (7, 4), (7, 6), (8, 0), (8, 1), (8, 3), (8, 4), (8, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
9,"[(8, 0), (8, 2), (8, 3), (8, 5), (9, 0), (9, 2), (9, 3), (9, 5), (9, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
10,"[(9, 1), (9, 2), (9, 4), (9, 5), (9, 7), (10, 1), (10, 2), (10, 4), (10, 5), (10, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 3), (10, 4), (10, 6), (10, 7), (10, 9), (11, 3), (11, 4), (11, 6), (11, 7), (11, 9), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 2), (11, 4), (11, 6), (11, 8), (11, 10), (11, 11), (12, 2), (12, 4), (12, 6), (12, 8), (12, 10), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(10, 3), (10, 5), (11, 0), (11, 1), (11, 3), (11, 5)]","['red', 'red', 'blue', 'blue', 'blue', 'red']",2
7,"[(8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'blue', 'red', 'red', 'blue']",4
8,"[(7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3)]","['red', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'red']",5
9,"[(8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'red', 'blue', 'blue', 'red', 'blue', 'blue']",4
10,"[(8, 3), (9, 3), (9, 5), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'red', 'blue', 'blue', 'blue', 'red', 'red', 'blue', 'blue', 'red']",4
11,"[(8, 3), (8, 4), (9, 3), (9, 4), (10, 2), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'blue', 'red', 'blue']",3
12,"[(7, 3), (8, 3), (9, 0), (9, 3), (10, 0), (10, 2), (10, 3), (11, 0), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'red', 'blue', 'blue']",5
9,"[(9, 3), (9, 4), (10, 3), (10, 4), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'red', 'blue', 'gray', 'red', 'gray', 'red', 'blue', 'blue']",4
10,"[(8, 3), (9, 3), (10, 2), (10, 3), (10, 4), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'gray', 'gray', 'blue', 'red', 'gray', 'blue', 'red', 'gray']",5
12,"[(7, 3), (8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['gray', 'blue', 'red', 'gray', 'blue', 'blue', 'gray', 'red', 'red', 'red', 'blue', 'red']",5
