cubes,positions,colors,moves
3,"[(2, 3), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",2
4,"[(3, 2), (4, 1), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 1), (5, 3), (6, 1), (6, 3), (6, 4), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 3), (7, 4), (7, 8), (8, 1), (8, 3), (8, 4), (8, 6), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 4), (8, 5), (8, 7), (8, 9), (9, 2), (9, 4), (9, 5), (9, 7), (9, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 4), (9, 5), (9, 7), (9, 9), (9, 10), (10, 4), (10, 5), (10, 7), (10, 9), (10, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
11,"[(10, 5), (10, 6), (10, 8), (10, 9), (10, 11), (11, 3), (11, 5), (11, 6), (11, 8), (11, 9), (11, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
12,"[(11, 1), (11, 2), (11, 4), (11, 6), (11, 7), (12, 1), (12, 2), (12, 4), (12, 6), (12, 7), (12, 9), (12, 11)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(9, 3), (10, 3), (10, 4), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'blue', 'red', 'blue', 'red']",2
7,"[(9, 5), (10, 2), (10, 3), (10, 5), (11, 2), (11, 3), (11, 5)]","['blue', 'blue', 'blue', 'red', 'red', 'red', 'blue']",2
8,"[(7, 3), (8, 3), (9, 3), (10, 3), (10, 5), (11, 1), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'blue']",5
9,"[(10, 1), (10, 2), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'red', 'blue', 'blue', 'blue', 'red', 'blue', 'blue']",3
10,"[(8, 1), (9, 1), (9, 4), (10, 1), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",4
11,"[(9, 1), (10, 1), (10, 2), (10, 3), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'blue', 'red', 'red', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'blue']",5
12,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 1), (10, 3), (11, 0), (11, 1), (11, 3), (11, 5)]","['blue', 'blue', 'red', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
9,"[(9, 3), (10, 0), (10, 2), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['gray', 'gray', 'blue', 'blue', 'blue', 'red', 'gray', 'red', 'red']",5
10,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['blue', 'gray', 'blue', 'gray', 'blue', 'red', 'blue', 'red', 'red', 'gray']",4
11,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 2), (11, 3)]","['red', 'blue', 'blue', 'gray', 'blue', 'red', 'red', 'gray', 'blue', 'gray', 'blue']",5
12,"[(9, 1), (9, 3), (10, 1), (10, 2), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'red', 'blue', 'gray', 'gray', 'red', 'blue', 'blue', 'red', 'red', 'gray']",3
