cubes,positions,colors,moves
3,"[(2, 1), (3, 1), (3, 2)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (3, 4), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",2
5,"[(4, 3), (4, 5), (5, 2), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",5
6,"[(5, 0), (5, 3), (6, 0), (6, 2), (6, 3), (6, 5)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
7,"[(6, 2), (6, 4), (6, 5), (7, 2), (7, 4), (7, 5), (7, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 0), (7, 1), (7, 3), (7, 4), (8, 0), (8, 1), (8, 3), (8, 4)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
9,"[(8, 0), (8, 2), (8, 3), (8, 5), (9, 0), (9, 2), (9, 3), (9, 5), (9, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
10,"[(9, 1), (9, 3), (9, 5), (9, 6), (9, 8), (10, 1), (10, 3), (10, 5), (10, 6), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
11,"[(10, 1), (10, 5), (10, 6), (10, 8), (10, 9), (11, 1), (11, 3), (11, 5), (11, 6), (11, 8), (11, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
12,"[(11, 2), (11, 3), (11, 5), (11, 6), (11, 8), (11, 9), (12, 2), (12, 3), (12, 5), (12, 6), (12, 8), (12, 9)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
6,"[(9, 1), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3)]","['blue', 'red', 'red', 'blue', 'blue', 'red']",2
7,"[(9, 1), (9, 3), (10, 1), (10, 3), (11, 1), (11, 2), (11, 3)]","['red', 'blue', 'blue', 'blue', 'blue', 'red', 'red']",3
8,"[(9, 3), (10, 1), (10, 3), (10, 4), (11, 1), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red']",4
9,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (11, 1), (11, 2), (11, 3)]","['red', 'red', 'blue', 'red', 'red', 'blue', 'red', 'blue', 'red']",3
10,"[(8, 2), (9, 2), (10, 1), (10, 2), (10, 5), (11, 0), (11, 1), (11, 2), (11, 3), (11, 5)]","['blue', 'red', 'red', 'red', 'red', 'blue', 'red', 'blue', 'blue', 'red']",4
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (10, 5), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'red', 'blue', 'red', 'red', 'red', 'red', 'blue']",3
12,"[(8, 3), (9, 1), (9, 3), (9, 4), (10, 1), (10, 3), (10, 4), (10, 5), (11, 1), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'red', 'red', 'red', 'blue', 'red', 'red', 'blue', 'red', 'blue', 'red']",2
9,"[(9, 1), (9, 2), (10, 1), (10, 2), (10, 4), (11, 1), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'gray', 'red', 'blue', 'red', 'gray', 'gray', 'blue']",2
10,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 1), (11, 2), (11, 3)]","['blue', 'blue', 'red', 'red', 'gray', 'red', 'gray', 'gray', 'blue', 'blue']",5
11,"[(7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['blue', 'gray', 'gray', 'blue', 'blue', 'red', 'gray', 'gray', 'red', 'red', 'gray']",5
12,"[(8, 3), (9, 3), (10, 1), (10, 2), (10, 3), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['gray', 'blue', 'blue', 'red', 'blue', 'blue', 'blue', 'blue', 'gray', 'red', 'gray', 'red']",5
