cubes,positions,colors,moves
3,"[(3, 0), (3, 2), (3, 3)]","['blue', 'blue', 'blue']",1
4,"[(3, 2), (4, 1), (4, 2), (4, 4)]","['blue', 'blue', 'blue', 'blue']",1
5,"[(4, 1), (4, 3), (5, 1), (5, 3), (5, 5)]","['blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(5, 2), (5, 3), (6, 2), (6, 3), (6, 5), (6, 6)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
7,"[(6, 1), (6, 3), (6, 4), (7, 0), (7, 1), (7, 3), (7, 4)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
8,"[(7, 3), (7, 4), (7, 6), (7, 8), (8, 3), (8, 4), (8, 6), (8, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
9,"[(8, 2), (8, 4), (8, 5), (8, 7), (9, 1), (9, 2), (9, 4), (9, 5), (9, 7)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
10,"[(9, 2), (9, 4), (9, 5), (9, 7), (10, 1), (10, 2), (10, 4), (10, 5), (10, 7), (10, 8)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",2
11,"[(10, 4), (10, 6), (10, 7), (10, 9), (10, 10), (11, 2), (11, 4), (11, 6), (11, 7), (11, 9), (11, 10)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",4
12,"[(11, 4), (11, 6), (11, 7), (11, 9), (11, 10), (11, 12), (12, 4), (12, 6), (12, 7), (12, 9), (12, 10), (12, 12)]","['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']",3
6,"[(10, 2), (10, 3), (11, 0), (11, 2), (11, 3), (11, 4)]","['blue', 'blue', 'red', 'red', 'blue', 'red']",2
7,"[(7, 3), (8, 3), (9, 3), (10, 3), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'red', 'red', 'blue', 'blue', 'red']",4
8,"[(6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (11, 3), (11, 4)]","['blue', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red']",5
9,"[(7, 3), (8, 3), (9, 3), (10, 3), (11, 0), (11, 1), (11, 3), (11, 4), (11, 5)]","['blue', 'red', 'blue', 'blue', 'red', 'blue', 'red', 'blue', 'blue']",3
10,"[(7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 5)]","['red', 'red', 'blue', 'red', 'red', 'red', 'red', 'blue', 'red', 'blue']",3
11,"[(6, 3), (7, 2), (7, 3), (8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3)]","['blue', 'blue', 'red', 'blue', 'blue', 'red', 'red', 'red', 'blue', 'blue', 'blue']",4
12,"[(4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (11, 0), (11, 2), (11, 3), (11, 4)]","['red', 'blue', 'blue', 'red', 'red', 'blue', 'red', 'red', 'red', 'red', 'blue', 'red']",4
9,"[(9, 4), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'blue', 'red', 'gray', 'blue', 'gray', 'blue', 'gray']",5
10,"[(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (11, 5)]","['gray', 'gray', 'red', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'gray']",4
11,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 2), (10, 3), (10, 4), (11, 2), (11, 3), (11, 4)]","['blue', 'gray', 'blue', 'red', 'red', 'blue', 'blue', 'red', 'gray', 'blue', 'gray']",3
12,"[(7, 2), (8, 2), (9, 2), (10, 1), (10, 2), (10, 4), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","['red', 'red', 'gray', 'gray', 'gray', 'red', 'blue', 'red', 'blue', 'blue', 'red', 'red']",4
